00Annotation	counts.Mast%20cell%20-%20stimulated%2c%20donor1.CNhs11073.11487-119E2.hg38.nobarcode	counts.Mast%20cell%2c%20donor1.CNhs12566.11563-120D6.hg38.nobarcode	counts.Mast%20cell%2c%20donor2.CNhs12594.11565-120D8.hg38.nobarcode	counts.Mast%20cell%2c%20donor3.CNhs12593.11566-120D9.hg38.nobarcode	counts.Mast%20cell%2c%20donor4.CNhs12592.11567-120E1.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%20and%20stimulated%2c%20donor5.CNhs13925.11940-126A5.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%20and%20stimulated%2c%20donor8.CNhs13927.11942-126A7.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%2c%20donor5.CNhs13924.11939-126A4.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%2c%20donor8.CNhs13926.11941-126A6.hg38.nobarcode
A1BG	20	184	70	193	214	111	36	143	105
A1BG-AS1	8	57	45	99	197	79	21	109	102
A1CF	0	0	0	0	0	0	0	0	0
A2M	0	0	7	13	11	5	1	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	5	10	0	0	0	0
A2ML1-AS1	0	0	0	0	0	0	0	0	0
A4GALT	0	0	6	7	10	0	0	1	1
A4GNT	0	0	0	0	0	0	0	0	0
AAAS	25	221	90	178	193	428	69	272	227
AACS	13	93	18	49	37	74	25	123	100
AADAC	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0
AADAT	0	5	1	6	3	2	0	1	2
AAGAB	115	419	77	128	133	561	132	554	269
AAK1	12	100	40	32	43	190	22	90	40
AAMDC	11	110	42	94	67	69	9	102	67
AAMP	108	378	202	270	299	455	128	350	287
AANAT	0	0	0	0	1	0	0	0	0
AAR2	21	127	48	57	82	126	23	116	74
AARD	11	29	26	35	18	25	18	11	13
AARS1	100	479	101	141	162	688	223	525	332
AARS2	21	103	56	86	83	172	47	176	132
AARSD1	39	133	60	80	89	232	51	172	96
AASDH	35	122	54	76	92	199	14	112	87
AASDHPPT	136	589	117	228	176	509	95	470	321
AASS	21	59	13	194	29	85	4	83	86
AATBC	0	0	0	0	0	0	0	0	0
AATF	99	618	160	264	263	461	55	511	236
AATK	0	0	0	0	0	0	0	0	0
ABAT	63	255	16	30	26	55	18	137	195
ABCA1	34	496	1243	1519	2368	566	29	242	81
ABCA10	0	0	1	0	0	0	0	0	0
ABCA11P,p1@ZNF721	192	190	188	290	371	199	41	178	131
ABCA12	0	0	0	0	0	0	0	0	0
ABCA13	0	0	0	0	1	0	0	0	0
ABCA17P	0	8	3	3	6	4	0	4	7
ABCA2	0	72	45	43	90	55	6	49	66
ABCA3	10	172	73	90	165	131	14	183	112
ABCA4	0	0	0	0	0	0	0	0	0
ABCA5	33	154	104	204	169	210	30	193	194
ABCA6	1	0	2	2	3	0	0	0	0
ABCA7	74	539	113	107	231	315	39	659	463
ABCA8	0	0	1	2	3	0	0	0	1
ABCA9	0	0	2	0	0	0	0	0	0
ABCB1	20	76	3	14	6	46	13	19	59
ABCB10	3	124	55	62	71	98	22	126	119
ABCB11	0	0	0	0	0	0	0	0	0
ABCB4	7	0	3	2	0	0	1	0	0
ABCB5	0	0	0	1	0	0	0	0	0
ABCB6	2	37	6	5	4	55	11	62	67
ABCB7	54	152	60	107	93	249	30	208	149
ABCB8	18	169	50	55	83	531	116	326	329
ABCB9	3	44	12	19	28	36	9	37	49
ABCC1	87	765	305	420	553	720	266	540	577
ABCC10	11	128	61	84	97	182	43	159	177
ABCC11	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0
ABCC2	0	0	0	0	0	0	0	0	1
ABCC3	0	2	2	4	2	0	0	0	0
ABCC4	161	1230	169	261	324	871	359	726	2526
ABCC5	15	96	6	6	8	104	16	118	75
ABCC6P1	0	0	0	3	0	0	0	0	1
ABCC8	0	1	0	1	0	0	0	0	0
ABCC9	0	0	2	0	1	0	0	0	1
ABCD1	2	98	76	80	94	182	24	106	77
ABCD2	0	1	0	0	0	1	0	0	0
ABCD3	72	131	34	129	37	160	39	163	102
ABCD4	11	126	97	151	163	164	47	161	203
ABCE1	407	319	110	116	129	636	96	272	111
ABCF1	315	663	511	582	723	853	164	521	456
ABCF2,p1@ABCF2-H2BE1	17	205	55	70	98	280	56	268	110
ABCF2P1	2	5	1	2	0	5	1	4	3
ABCF3	77	271	126	205	232	278	54	249	181
ABCG1	2	73	75	86	164	1	2	2	1
ABCG2	0	0	1	3	0	1	1	0	2
ABCG4	0	1	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0
ABHD1	0	4	7	7	4	0	0	3	2
ABHD10	66	232	63	80	103	229	28	217	141
ABHD11	8	100	47	72	96	77	15	174	114
ABHD11-AS1	0	3	0	1	0	1	0	1	1
ABHD12	17	183	131	138	186	282	33	246	200
ABHD12B	0	0	0	0	0	0	0	1	0
ABHD13	102	298	101	195	133	327	17	256	148
ABHD14A	0	7	0	1	1	2	2	4	1
ABHD14A,p2@ABHD14A-ACY1	8	120	40	83	76	103	17	235	119
ABHD14A,p3@ABHD14A-ACY1	0	24	5	8	6	12	0	20	22
ABHD14A-ACY1	0	1	0	0	0	0	0	1	0
ABHD14B,p1@PCBP4	82	769	266	498	467	681	126	752	510
ABHD15	0	19	14	20	29	16	6	14	23
ABHD16A	78	400	108	154	182	433	78	369	220
ABHD17A	0	77	69	86	107	65	13	96	71
ABHD17AP6	0	28	18	19	30	25	2	31	20
ABHD17B	25	332	155	216	169	377	66	313	505
ABHD17C	0	11	14	15	31	8	5	16	17
ABHD18	51	223	118	109	126	324	56	240	243
ABHD2	370	1489	430	523	644	1730	422	1492	1230
ABHD3	20	84	113	136	293	118	15	166	142
ABHD4	145	1518	508	846	1073	1826	143	1469	890
ABHD5	167	113	68	61	94	156	24	126	138
ABHD6	29	423	73	116	117	356	43	393	211
ABHD8	2	153	37	90	106	166	16	231	132
ABI1	402	927	477	591	646	1079	129	688	472
ABI2	94	319	107	193	134	236	65	184	145
ABI3	0	0	1	2	2	0	0	0	0
ABI3BP	57	14	1025	1162	719	68	1	39	1
ABITRAM	14	42	7	23	22	75	11	38	41
ABL1	4	333	208	226	340	275	66	311	370
ABL2	656	119	105	85	113	152	41	116	71
ABLIM1	3	0	15	8	27	4	1	0	1
ABLIM2	0	0	4	5	4	2	0	1	1
ABLIM3	0	0	11	33	42	1	1	10	3
ABO	0	0	3	1	2	0	0	0	0
ABR	8	241	179	265	340	162	28	188	304
ABRA	0	0	0	0	0	0	0	0	0
ABRACL	1443	2504	185	379	220	4223	666	2878	1005
ABRAXAS1	76	219	132	144	166	199	19	122	138
ABRAXAS2	139	294	129	178	208	308	54	239	174
ABT1	30	235	79	145	146	285	44	330	181
