logFC	AveExpr	t	P.Value	adj.P.Val	B
RPS4Y1	-9.60961159111201	1.60833552831752	-15.9508085595929	2.41394469419349e-13	2.4252902342562e-09	11.0249645432255
EIF1AY	-8.22151620126494	0.845238709001487	-12.8658531646959	1.56883891580978e-11	7.88106229357043e-08	9.61310390513317
TXLNGY	-7.4175315719546	0.5715056409962	-12.3045497774804	3.64976689825734e-11	1.22230693422638e-07	9.26414479256225
DDX3Y	-7.71868695660912	0.908832189552003	-10.8607535431871	3.6902066076197e-10	9.26887644668878e-07	8.28145932329964
KDM5D	-7.11368254500323	0.460503500155335	-9.99154575865971	1.65537262987576e-09	3.32630576247235e-06	7.54625661252526
UTY	-5.93690943084907	-0.0297613800886231	-9.6354309385918	3.14050915339067e-09	5.25878257735267e-06	7.11276287998336
TTTY14	-5.27821627808249	-0.172350920668962	-9.4378775794636	4.50980002924465e-09	6.47285155626015e-06	6.84147667362903
ZFY	-5.23828256025439	-0.0455224067311513	-8.06059825838955	6.45029830190871e-08	7.79506804386313e-05	5.47204862957232
PPIAP29	-5.02132871155894	-0.130321526721885	-8.02141733570573	6.9827423504298e-08	7.79506804386313e-05	5.39521808289764
TPSD1	-3.86498328003711	11.2254026551332	-6.10100328135022	4.37313592865832e-06	0.00439368966752302	4.31813572106901
XIST	4.41067402975516	3.30230710890486	5.63877246013278	1.2680512627909e-05	0.011581919124782	2.45248458766531
PRKY	-4.53706041875197	0.352283346589786	-4.86000010196906	7.98579616714401e-05	0.0668610784094132	0.874565931609304
MPDZ	-4.93180628329265	1.41849015299439	-4.75285806265179	0.000103218246707867	0.0797718249749181	0.723372110568344
GPX1	1.24099765661691	7.79804766895171	4.33672147587601	0.000280840589073617	0.201543242744474	0.465374768560342
SPTBN1	-1.64169459500372	5.21960042527762	-4.1936441293497	0.000396500618641974	0.265576114366395	0.174837841082345
C2	-2.35019213486046	3.32846370942309	-4.11013078904742	0.000484901602325735	0.304487899910416	-0.19028986825477
CLDN23	1.96564361781481	1.78212533234595	4.06281533552371	0.000543445549139395	0.321176319541382	-0.240557718706512
EIF1AX	0.860004670461269	6.32197905146013	3.99987537106368	0.00063236797327382	0.352966723749004	-0.304502974928289
CACNA2D4	-2.20400187539878	5.04445248709568	-3.8858052260802	0.000831960953123729	0.430910405134747	-0.490776295393809
SLC2A1	1.286611888095	4.47061283356545	3.82669928990909	0.000958814618950646	0.447252077954216	-0.629324471058164
TSPAN6	-2.62678298121253	2.19732014008615	-3.87307785884441	0.000857789201024678	0.430910405134747	-0.668087647239087
