logFC	AveExpr	t	P.Value	adj.P.Val	B
RPS4Y1	9.60005481495362	1.60833552831752	21.4737345817988	8.24843871458307e-16	8.28720637654161e-12	17.651965935672
EIF1AY	8.26157882088324	0.845238709001487	16.7526412589559	1.16901156976163e-13	4.41263761156352e-10	15.6179577673097
TXLNGY	7.45377051941285	0.5715056409962	16.6510043201744	1.31759857018917e-13	4.41263761156352e-10	15.5413140754657
DDX3Y	7.67548059214799	0.908832189552003	13.9116382458387	4.29932827962587e-12	1.07988378063503e-08	13.7598170906341
KDM5D	7.14112928327482	0.460503500155335	13.5875880907113	6.73672010709735e-12	1.35367653832014e-08	13.4786571591378
UTY	5.9008065002761	-0.0297613800886231	12.3594010736845	4.00949468734302e-11	6.71389885395589e-08	12.3012430818393
TTTY14	5.33616216364235	-0.172350920668962	11.4484888488343	1.64788968904976e-10	2.36519252941184e-07	11.341114567908
ZFY	5.24818823773858	-0.0455224067311513	10.6251734746836	6.36075006693412e-10	7.25534993160503e-07	10.5199029706781
PPIAP29	5.02162239747716	-0.130321526721885	10.6123942790683	6.49926837707229e-10	7.25534993160503e-07	10.4693003671146
XIST	-4.35718978378558	3.30230710890486	-7.31702172899133	3.26329926223158e-07	0.000327863676876407	6.19598115154965
TPSD1	3.75893977805693	11.2254026551332	6.44958667871169	2.1227683475453e-06	0.0019388594170716	5.04512505198951
MPDZ	4.96587672968341	1.41849015299439	5.73842929076611	1.05763441700703e-05	0.00885504415639132	3.19311915882958
PRKY	4.56579072087284	0.352283346589786	5.69046180195827	1.18109060185828e-05	0.00912801328990014	3.07774306447047
GPX1	-1.21250390499324	7.79804766895171	-5.28360509833058	3.04108001790077e-05	0.0218240935284636	2.44460983570737
EIF1AX	-0.889755370759338	6.32197905146013	-5.23276798283765	3.42627195351e-05	0.02294916954461	2.30909388489018
CLDN23	-1.93331305964953	1.78212533234595	-5.01796098086078	5.68433217043971e-05	0.034263520561039	1.91134916519549
C2	2.35470968640647	3.32846370942309	5.00962258805983	5.79755001032809e-05	0.034263520561039	1.88715901968239
CFB	3.00488746011113	0.431145552933517	4.77055292935088	0.00010224755079704	0.0570711746032145	1.31191799521155
SLC2A1	-1.31277897238923	4.47061283356545	-4.6501833874908	0.000136221578192012	0.0720325366365863	1.06850087245987
SPTBN1	1.59823675255567	5.21960042527762	4.51450053001676	0.000188370127383412	0.0862362132569848	0.784970315584534
APOBEC3D	-0.879764352315608	4.11897075297983	-4.54929235372008	0.000173336149924171	0.0862362132569848	0.73023377930034
RPS4X	-0.910496867263132	8.55860339511061	-4.51347605441867	0.00018883215802266	0.0862362132569848	0.672625108288727
PTPRJ	-1.31517710209107	4.4331347368054	-4.48001178824009	0.000204567340175852	0.0893603507281213	0.660536393061761
