logFC	AveExpr	t	P.Value	adj.P.Val	B
ARHGAP1	0.849382924424127	6.77888014474907	4.16213254518418	0.000468101910874697	0.984113259833708	-4.04146224415187
NRP2	1.1385324417475	6.62427138325936	3.96184155918867	0.000750222970838888	0.984113259833708	-4.04972909228842
GZMB	4.61505908283548	5.26386850628505	5.41871810811072	2.51037126610614e-05	0.252217001105684	-4.12862709691054
CD84	1.1312024429693	7.40488208722771	3.38884690959365	0.0028676345634298	0.984113259833708	-4.16372146767423
ST7	1.12818702004797	6.2732720893417	3.40023234378266	0.00279292011877727	0.984113259833708	-4.20560664373282
KANSL3	1.40586483291709	6.60275727661652	3.10977738356561	0.00544957986407045	0.984113259833708	-4.21219925371822
PTPN22	1.03701442478623	6.07800127673425	3.26835976879018	0.00378844276592083	0.984113259833708	-4.21980283269542
VGLL4	1.0243038235742	5.48116976305108	3.50468709440383	0.00219081868725054	0.984113259833708	-4.22674261567458
TRAM1	0.641305903049642	7.56669930294104	2.979373284208	0.00732672408897366	0.984113259833708	-4.2318262872071
RAB27B	0.878371073377969	9.13327971424926	2.99770121892972	0.00702945643693623	0.984113259833708	-4.23868020484233
RNF114	-0.753531361227348	6.60098861759989	-2.93905354457887	0.00802389441009709	0.984113259833708	-4.24295743983819
SNX8	-1.09194726827958	5.47619343722467	-3.08124999788091	0.00581556644039699	0.984113259833708	-4.24579787102789
PRRC1	1.00626318759944	6.1575137521131	3.14951862191056	0.00497672253606119	0.984113259833708	-4.2551083190808
SPECC1	0.82489056573529	6.7362292159477	3.03822293901044	0.00641294291671895	0.984113259833708	-4.25514478392274
LMAN1	1.18526522962509	6.51484254051311	2.89298806692377	0.00889850017991208	0.984113259833708	-4.25669249959374
SEC11C	0.957308883585395	6.6659110687202	2.85082304037327	0.00977863963784385	0.984113259833708	-4.25906520834308
SEC23B	0.657618548518185	6.21648841456895	2.88712410689924	0.00901619007521078	0.984113259833708	-4.26310614874472
PLP2	1.20380853485543	8.19333537221386	2.832963700148	0.0101760350986118	0.984113259833708	-4.26629377903782
ERLEC1	0.621486266117474	6.51222503497135	2.81122815476888	0.0106805288650152	0.984113259833708	-4.26923692508707
SSR1	0.880862020278399	7.30376046648906	2.78799884454266	0.0112460628762086	0.984113259833708	-4.27366840543373
TNFSF10	1.41093264146591	7.08555711711484	2.80891666795377	0.0107355637319631	0.984113259833708	-4.27508291172203
IREB2	0.710880773556789	6.29818433361817	2.82834856252278	0.0102812125683458	0.984113259833708	-4.2795116473101
HDLBP	0.810920835280643	7.47323225741056	2.73837888491849	0.0125511907374602	0.984113259833708	-4.28245510156571
CAMTA2	1.38586305760944	5.05620544433771	3.09328852601689	0.00565830628673005	0.984113259833708	-4.28289289108595
