logFC	AveExpr	t	P.Value	adj.P.Val	B
CCL1	10.4543007278259	7.10337886016802	18.3033056094804	1.54894254050922e-14	7.78111285224808e-11	22.5706718671218
AQP2	8.36149605960833	4.79145377601364	18.3972822697484	1.39714126956186e-14	7.78111285224808e-11	22.1724273398507
NRP2	2.30184445714866	6.62427138325936	12.6929498331228	2.02856398131545e-11	3.39683038671271e-08	16.3104181958954
GBP2	4.72117313933116	4.29535777895754	12.7800922625524	1.78151915674213e-11	3.39683038671271e-08	16.2741445318412
GZMB	8.23040420456724	5.26386850628505	12.7414060911085	1.88708282460055e-11	3.39683038671271e-08	16.1243015046141
XIRP1	10.0715682308119	1.90595440398661	13.3142197610559	8.15721991555436e-12	2.73185294971916e-08	16.0553576991293
STX3	-1.49222566963724	8.028109358438	-12.4214948284964	3.05364485550026e-11	4.14846860339714e-08	15.9149479108475
FDX1P1	2.36694410066496	2.34198609028233	12.3674433959125	3.31546307892395e-11	4.14846860339714e-08	15.6347852579736
ACSL1	2.86453066044373	5.81988008310094	12.0693484659564	5.24497690474646e-11	5.26962829619877e-08	15.3819697842232
ARMC9	3.34350265456345	2.53112040418086	12.2927753287529	3.71615581074691e-11	4.14846860339714e-08	15.2450210665978
SMOX	4.27275288199609	4.69203261158731	11.8027015786021	7.96356993325969e-11	7.27363519267819e-08	14.9157748922696
FLI1	-1.63920225427032	7.27915831147408	-11.5890597178692	1.11851741598012e-10	9.36478706529354e-08	14.6449123663046
CCL2	6.07524277213701	11.1865953793009	11.2757145612391	1.85652751199197e-10	1.4129968863731e-07	14.1299415349793
RASA1	1.49857836739353	5.44002336288649	11.2397647603662	1.96894161533028e-10	1.4129968863731e-07	14.0851816617778
C1orf21	2.37489905717887	6.2483123785832	10.9483935532184	3.1868976207169e-10	2.13458402635618e-07	13.617622363827
CTNNA1	1.6669604786138	7.47560109124412	10.7898451568718	4.15759744274312e-10	2.45714008866119e-07	13.3558380555716
PPAN-P2RY11	1.93897219890877	2.50828097145587	10.7974848409183	4.10441105071818e-10	2.45714008866119e-07	13.3144817642426
LRRC8B	3.40932362700724	5.02835668269332	10.7253450508683	4.63620298192585e-10	2.58777396441161e-07	13.2404208689066
THBS1	3.92621121120656	5.03029704428543	10.5320704648563	6.44407441389037e-10	3.39053461516102e-07	12.921339424801
SLC37A2	3.78439666943055	4.26039065467517	10.505097563895	6.74934729802135e-10	3.39053461516102e-07	12.8534242915355
PHLDA1	3.31622076505037	6.91821364813027	10.3333257202402	9.08060100548859e-10	4.34441896676876e-07	12.5861747690159
