logFC	AveExpr	t	P.Value	adj.P.Val	B
RPS4Y1	-9.60005481495362	1.60833552831752	-21.4737345817989	8.24843871458248e-16	8.28720637654102e-12	17.6519659356721
EIF1AY	-8.26157882088324	0.845238709001487	-16.752641258956	1.1690115697615e-13	4.41263761156301e-10	15.6179577673098
TXLNGY	-7.45377051941285	0.5715056409962	-16.6510043201745	1.31759857018901e-13	4.41263761156301e-10	15.5413140754658
DDX3Y	-7.67548059214799	0.908832189552003	-13.9116382458388	4.29932827962543e-12	1.07988378063492e-08	13.7598170906342
KDM5D	-7.14112928327482	0.460503500155335	-13.5875880907115	6.73672010709624e-12	1.35367653831992e-08	13.478657159138
UTY	-5.9008065002761	-0.0297613800886231	-12.3594010736845	4.00949468734272e-11	6.71389885395539e-08	12.3012430818394
TTTY14	-5.33616216364235	-0.172350920668962	-11.4484888488343	1.64788968904968e-10	2.36519252941173e-07	11.341114567908
ZFY	-5.24818823773858	-0.0455224067311513	-10.6251734746836	6.36075006693378e-10	7.25534993160446e-07	10.5199029706782
PPIAP29	-5.02162239747716	-0.130321526721885	-10.6123942790684	6.49926837707177e-10	7.25534993160446e-07	10.4693003671147
XIST	4.35718978378558	3.30230710890486	7.31702172899134	3.26329926223149e-07	0.000327863676876398	6.19598115154967
TPSD1	-3.75893977805694	11.2254026551332	-6.44958667871168	2.12276834754535e-06	0.00193885941707165	5.04512505198949
MPDZ	-4.96587672968342	1.41849015299439	-5.73842929076617	1.05763441700687e-05	0.00885504415639003	3.19311915882971
PRKY	-4.56579072087284	0.352283346589786	-5.69046180195829	1.18109060185823e-05	0.0091280132898997	3.07774306447052
GPX1	1.21250390499324	7.79804766895171	5.28360509833063	3.04108001790045e-05	0.0218240935284613	2.44460983570746
EIF1AX	0.889755370759338	6.32197905146013	5.23276798283766	3.42627195350991e-05	0.0229491695446094	2.30909388489021
CLDN23	1.93331305964953	1.78212533234595	5.01796098086077	5.68433217043979e-05	0.0342635205610394	1.91134916519548
C2	-2.35470968640647	3.32846370942309	-5.00962258805983	5.79755001032815e-05	0.0342635205610394	1.88715901968238
CFB	-3.00488746011114	0.431145552933517	-4.77055292935087	0.000102247550797043	0.0570711746032163	1.31191799521152
SLC2A1	1.31277897238923	4.47061283356545	4.65018338749079	0.000136221578192013	0.0720325366365869	1.06850087245986
SPTBN1	-1.59823675255567	5.21960042527762	-4.51450053001676	0.000188370127383412	0.0862362132569888	0.784970315584533
APOBEC3D	0.879764352315607	4.11897075297983	4.54929235372007	0.000173336149924173	0.0862362132569888	0.73023377930033
RPS4X	0.910496867263131	8.55860339511061	4.51347605441865	0.000188832158022669	0.0862362132569888	0.672625108288684
PTPRJ	1.31517710209107	4.4331347368054	4.48001178824009	0.000204567340175852	0.0893603507281211	0.660536393061764
TSPAN6	-2.53194548025593	2.19732014008615	-4.31288085748609	0.00030521714171025	0.127771525948453	0.404555434076619
CACNA2D4	-2.14715207160167	5.04445248709568	-4.25844941860118	0.000347729210306452	0.139745415037957	0.192248196966053
SESTD1	-1.85767935513217	3.01795233197346	-4.19817512354064	0.000401752771754644	0.155224960583818	0.164509379417724
CLNK	-4.62052803822731	2.0899348051172	-4.18213844657916	0.000417489414132414	0.155224960583818	0.0951189826552366
DMXL2	-1.1906363201899	4.22760320562798	-4.1345821659439	0.000467870224291746	0.155224960583818	-0.0208912525307348
MICA	1.22583971104395	3.71008503632599	4.13819993325787	0.000463832924577354	0.155224960583818	-0.0212431728197036
CMBL	1.9238530221618	3.63887323378102	4.13034858590739	0.000472639316055737	0.155224960583818	-0.0477863060776977
SIGLEC9	-4.44317433197367	2.55791218081757	-4.07730296625931	0.000536670917806864	0.158586256211928	-0.110239226107463
TPTEP1	-1.40705806849143	4.11306122491565	-4.09871321920822	0.000509846093288144	0.155224960583818	-0.111662954733731
CACNA2D2	1.42655320604305	5.10405667831658	4.11308055900402	0.000492599408761829	0.155224960583818	-0.188075397634091
NAPB	-1.0020046734618	5.11855984627487	-4.10884605595222	0.000497621148935417	0.155224960583818	-0.207532498274508
FDX1P1	-1.08923449857305	2.34198609028233	-4.04853190310537	0.000574946773305534	0.16504257804002	-0.330569574315231
CLIP4	-2.41059865754779	4.23599049760342	-3.93226870325767	0.000759351253005445	0.211922278859603	-0.443445343073256
STON2	-2.58685869173467	1.63599322209446	-3.74278958886967	0.00119356215631766	0.285526817424292	-0.806430138318103
FAS	1.47095569948293	3.13481524125464	3.75187746809251	0.00116800329735558	0.285526817424292	-0.819843030538766
NLRC5	-2.43400061240991	1.42461779951791	-3.74277532616073	0.00119360270048973	0.285526817424292	-0.822956375958311
ACIN1	-0.553960439497622	7.15160172191341	-3.86817707512888	0.000885032738010643	0.240322268075485	-0.850101761305724
PRSS21	2.17029235145879	0.785502432695663	3.72453065120556	0.00124659720955523	0.286254394580057	-0.884593924141275
ALDH5A1	-1.40970698674521	5.07825634503167	-3.76126315097345	0.00114217516990931	0.285526817424292	-0.92752602763926
NAA25	-1.00550486704219	4.24198098786847	-3.7074290446693	0.00129838015597523	0.289885009490737	-0.951616523611592
C12orf75	2.14821774955108	2.54787861010061	3.66442983850168	0.00143815432036802	0.307428435249733	-1.00604809515818
RPS3A	0.760133753582873	5.81307032825132	3.76622296737499	0.00112875546315935	0.285526817424292	-1.07105380350288
LDB2	-3.45474196444624	1.75667871600192	-3.60646291339717	0.00165032457833253	0.33838389874504	-1.0893485825087
ST14	1.44148219628266	4.41960219957064	3.69157312986811	0.0013482869464179	0.294483455449145	-1.10851668027904
STX16	-0.757606095500602	3.56012606958147	-3.72216817893988	0.00125362728789912	0.286254394580057	-1.17301552030423
REM1	-2.4999550626934	4.39868520256933	-3.51669486753599	0.00204113936453698	0.402104454813785	-1.38384178308407
BMS1P4	-1.50102490530361	3.33657896370669	-3.46871664926058	0.00228595212791613	0.425314093132841	-1.39716259857278
EPAS1	-1.37072903726579	7.06207741812064	-3.61247692329254	0.00162695075332219	0.33838389874504	-1.41464773774833
TMEM176A	-2.99022092127023	1.69038909394406	-3.42324344828922	0.00254445234230563	0.440760563502494	-1.45766396541964
TTC39B	-0.594847803135431	6.23594769864287	-3.58174709226281	0.00174990627442805	0.351626166783573	-1.4815796695679
GATA3	-1.54862246977911	3.83549825585179	-3.49139028627186	0.00216686354468597	0.410763736480376	-1.56488646411009
EP300-AS1	1.28812051591972	2.30309684034316	3.43492656848303	0.00247542621081723	0.440760563502494	-1.58309521570667
