logFC	AveExpr	t	P.Value	adj.P.Val	B
ARHGAP1	0.899346146761192	6.77888014474907	3.87464171927995	0.000936913916617856	0.993369746851119	-4.3455710411545
GZMB	4.93841579674526	5.26386850628505	4.80840118913215	0.000105736612066192	0.993369746851119	-4.38777935380065
NRP2	1.12008309816511	6.62427138325936	3.1814394175446	0.00467274663512151	0.993369746851119	-4.39782346816351
KANSL3	1.63262865472898	6.60275727661652	3.06122810517202	0.00614175908609534	0.993369746851119	-4.4093404478667
SNX8	-1.26093423682777	5.47619343722467	-3.03816068000701	0.00647082578720018	0.993369746851119	-4.42537566523479
TNFSF10	1.68013051988138	7.08555711711484	2.88507950494495	0.00912708090561502	0.993369746851119	-4.42793447490593
HDLBP	1.00469733644558	7.47323225741056	2.81752027920764	0.0106076171870825	0.993369746851119	-4.43126247334833
SPECC1	0.887097012083814	6.7362292159477	2.97673566249802	0.0074322974583046	0.993369746851119	-4.43145095258019
CD84	1.21422730470667	7.40488208722771	2.84409903175153	0.00999961343046219	0.993369746851119	-4.43385705177985
PLP2	1.29047051362216	8.19333537221386	2.78582807482036	0.011378813242648	0.993369746851119	-4.43636678452246
SSR1	1.04546485011477	7.30376046648906	2.7587662250101	0.0120794076744445	0.993369746851119	-4.43788762427433
SEC61A1	0.837567650766016	7.83549154819385	2.72850298792979	0.012911512665032	0.993369746851119	-4.44105358192209
PHRF1	-1.35336757385153	4.48279374585878	-3.67302597909854	0.00150057974806083	0.993369746851119	-4.44240092615032
RNF114	-0.861360559687755	6.60098861759989	-2.70400202905581	0.0136248246591695	0.993369746851119	-4.44349017921291
RAB27B	0.964016229787361	9.13327971424926	2.73460335921163	0.0127395095620853	0.993369746851119	-4.44458348722134
PTPN22	1.08796290935325	6.07800127673425	2.85239797377797	0.0098167037364847	0.993369746851119	-4.44480596636107
CS	0.887615744612023	6.66757961602677	2.69670308743268	0.0138444577294012	0.993369746851119	-4.44802867034775
SEC11C	1.04878462367895	6.6659110687202	2.64002724298255	0.0156678090800186	0.993369746851119	-4.44902773600619
SEC23B	0.71419599722582	6.21648841456895	2.66201510030139	0.014934958257769	0.993369746851119	-4.45156774544659
TIMP1	1.77355981383949	8.99825777494369	2.67227599288642	0.0146041828983828	0.993369746851119	-4.45222714815923
VGLL4	1.02860394334097	5.48116976305108	2.97641437143246	0.00743767168247507	0.993369746851119	-4.45257258613083
LMAN1	1.26666048119234	6.51484254051311	2.62100153924279	0.0163292502425333	0.993369746851119	-4.4535631329747
ST7	1.09923409773353	6.2732720893417	2.78769624108852	0.0113319068215157	0.993369746851119	-4.45466853766733
PRRC1	1.02795110456839	6.1575137521131	2.77488960644195	0.0116571983833441	0.993369746851119	-4.45808770597514
OGT	1.36589654534074	6.92297680772086	2.60252606720412	0.0169967339491835	0.993369746851119	-4.45819007378754
CAMTA2	1.45380115243664	5.05620544433771	2.85873405050491	0.00967921723554159	0.993369746851119	-4.45855138700468
BAP1	-1.22153679270819	5.03497960833348	-2.811916346383	0.0107402467187045	0.993369746851119	-4.45926375275875
CCL1	3.57632374982847	7.10337886016802	3.17991443086318	0.00468904292197961	0.993369746851119	-4.46185482237451
PEPD	-1.01391413393169	6.74889428436933	-2.50374101893754	0.021023777907025	0.993369746851119	-4.46413249489982
ENPP3	1.69177240378367	7.70826502654048	2.57320695510747	0.0181090402737413	0.993369746851119	-4.46450915604454
IREB2	0.774057596567709	6.29818433361817	2.53916443270045	0.0194864400457894	0.993369746851119	-4.46574180752557
TRAM1	0.609064339101518	7.56669930294104	2.41706778700018	0.0252770598639096	0.993369746851119	-4.47179589989244
SNRPB	-0.799971735775767	6.84115874519394	-2.41218298521422	0.0255391625376493	0.993369746851119	-4.47243102057824
STXBP5-AS1	3.35421309882992	3.34522055333089	3.61761016309984	0.00170736930697322	0.993369746851119	-4.47308801023992
RPL4P4	1.0377128301642	7.39239590227821	2.51088430041116	0.0207048985151616	0.993369746851119	-4.47320588237286
EIF4ENIF1	-1.12956632471079	3.89707267253686	-3.13929892917045	0.00514397984131345	0.993369746851119	-4.47393076901749
SLC33A1	0.891999005744265	5.62649227835317	2.61541576789759	0.0165283977143446	0.993369746851119	-4.47393166130177
SH3GLB1	0.583151158729657	7.30690465685718	2.39784347805398	0.0263232454633027	0.993369746851119	-4.47400298411184
TTC7B	-1.0019500432416	5.503677791092	-2.5916049778458	0.0174033106561406	0.993369746851119	-4.47488774211121
BRI3	-0.762340070213057	7.97110121529396	-2.4110814830626	0.0255986138370717	0.993369746851119	-4.47544699212341
HIRA	-0.8928087072658	5.77516697321882	-2.48196920725952	0.0220242815134206	0.993369746851119	-4.47674248366053
SND1	0.946257690450274	6.39007472511025	2.37800491951414	0.0274449251428586	0.993369746851119	-4.47739222150519
HM13	0.857580847509424	7.61404967094892	2.36153198673603	0.0284098304319264	0.993369746851119	-4.47840569851214
GRAP2	1.09880903843687	7.82882554557484	2.35375588973828	0.0288761517028912	0.993369746851119	-4.47907564344189
ERLEC1	0.596044917658192	6.51222503497135	2.33692368033699	0.0299099156068838	0.993369746851119	-4.48057384470852
LIMS1	1.49485034115084	6.98196538812424	2.340580663385	0.0296824517200046	0.993369746851119	-4.4808108653484
IL2RG	1.27227139409648	6.83725334060697	2.37220774831073	0.0277809765772009	0.993369746851119	-4.48108163670862
ZMYND8	0.697188642750821	6.45032921923524	2.39351928894953	0.0265640456925717	0.993369746851119	-4.4813341723675
RRP8	-0.613768997390465	5.24101507788801	-2.44009858790802	0.0240746919095975	0.993369746851119	-4.48277111258913
UBALD1	1.01383350339581	5.0088676019229	2.77560510154256	0.0116387921837764	0.993369746851119	-4.48289711644865
MSRB2	-1.22038434478368	5.23499728508562	-2.51261885754241	0.0206281539314304	0.993369746851119	-4.4833727133331
SEC31A	1.00225828621628	7.36292573060137	2.30318639506417	0.0320856118560803	0.993369746851119	-4.48340685504917
CSNK2A1	0.877916231820855	5.69009078099598	2.36524614800081	0.0281895675265259	0.993369746851119	-4.48346464968438
NTMT1	-1.00745445407823	4.91042530036568	-2.50333500906175	0.021042039850339	0.993369746851119	-4.48473057172145
PER3	1.56891679491695	4.67150860960242	2.66863804836922	0.0147206553191167	0.993369746851119	-4.48594855531333
RBBP4	0.707699921479632	6.74428054521047	2.28178266143095	0.0335405936683969	0.993369746851119	-4.48606552109239
CD9	0.989650013271988	8.74823873811179	2.3068157406727	0.0318447403203784	0.993369746851119	-4.48646758012936
UQCRC2	0.932983137844893	6.80168221092584	2.30259102669067	0.0321252850534338	0.993369746851119	-4.48690417184312
TOR1AIP2	0.897487807062826	5.8289769783659	2.33005190191401	0.030341702683417	0.993369746851119	-4.48712364695411
ADAM12	1.90992107564161	6.70807987191635	2.26406683360791	0.0347905191998572	0.993369746851119	-4.487935073039
PDIA6	0.917651579596127	7.40214203492558	2.25604429517232	0.0353704954010858	0.993369746851119	-4.48827449705719
RPS6KB2	-0.578156257300612	5.38744392885852	-2.37258842660118	0.0277587928469067	0.993369746851119	-4.48836550462857
AP1G1	0.742858646949611	6.49200192755846	2.28656096990567	0.0332106069222565	0.993369746851119	-4.48871192259281
CTDNEP1	0.783640616121201	6.61536970517224	2.35131660584732	0.0290238856123112	0.993369746851119	-4.48905895906371
PGAM1	0.803183771890728	6.7685087946614	2.24774815284337	0.0359795698707603	0.993369746851119	-4.48980957514977
SLC39A9	0.954187588029217	5.61079516870196	2.42867059628701	0.0246644918582853	0.993369746851119	-4.49003601587474
PHLDA1	1.72400934038507	6.91821364813027	2.27252171399876	0.0341887486647557	0.993369746851119	-4.49010376760258
CBLB	1.00282087825979	6.96430696467841	2.23417159177851	0.0369970877295727	0.993369746851119	-4.49023665524873
PLAGL1	-1.37539809515629	4.90196752073414	-2.43164641624867	0.0245096266099629	0.993369746851119	-4.49027986461513
ACSL4	1.63513272376032	10.0306016509242	2.3222535110025	0.0308386839432385	0.993369746851119	-4.49049598329091
NPLOC4	-0.523918929797359	6.01431997615828	-2.26950981503879	0.0344020133995194	0.993369746851119	-4.49056245979471
ACTG1	1.350243408079	10.3173631297633	2.31901033547111	0.031047571120634	0.993369746851119	-4.49135958096632
ZBTB7A	-0.94863348819234	6.57525005117031	-2.22436581327716	0.0377483128207361	0.993369746851119	-4.4919778502932
