logFC	AveExpr	t	P.Value	adj.P.Val	B
CCL1	10.7829276009739	7.10337886016802	15.3048139563312	6.84030620656635e-13	3.69147766849077e-09	18.7372950092555
AQP2	8.26297342493026	4.79145377601364	15.2484149948937	7.34841777344635e-13	3.69147766849077e-09	18.2747754309195
GBP2	4.61469814401448	4.29535777895754	11.7638037091135	1.0009729034351e-10	2.51419369020311e-07	14.4359251196766
XIRP1	10.0587895746303	1.90595440398661	12.4257845095608	3.62840301574077e-11	1.21515216997158e-07	14.3201576504451
NRP2	2.30564163150591	6.62427138325936	11.1950208921105	2.47843460729705e-10	4.1501387499189e-07	13.8093506845753
GZMB	8.26776879721684	5.26386850628505	11.2746704645599	2.1785402974086e-10	4.1501387499189e-07	13.6111872398875
RASA1	1.49682298144386	5.44002336288649	10.2856600452399	1.13445201129488e-09	1.42472991968495e-06	12.3335103874755
FDX1P1	2.35370738056323	2.34198609028233	10.2961842475767	1.11406810004491e-09	1.42472991968495e-06	12.1458695569181
ARMC9	3.38345105029666	2.53112040418086	9.83303667484053	2.50458061538705e-09	2.79594682697707e-06	11.1760478140324
FLI1	-1.59232751390885	7.27915831147408	-9.55212590351806	4.14485644734891e-09	3.73667619092916e-06	11.0987927653313
STX3	-1.50795825139923	8.028109358438	-9.54027138245675	4.23480230969571e-09	3.73667619092916e-06	11.0798049940015
ACSL1	2.79958767142433	5.81988008310094	9.51132583771724	4.46303516384492e-09	3.73667619092916e-06	11.0252481703104
CCL2	6.21631196267711	11.1865953793009	9.12960662108578	9.00475999755392e-09	6.03138824636161e-06	10.327726819431
FASLG	5.79524535230027	3.46772076950841	9.13632389616097	8.89281936842802e-09	6.03138824636161e-06	10.1568520951059
IL3	8.59468498032616	3.66921763834542	9.21656944779454	7.6617924234346e-09	5.92138680601903e-06	10.1296749448247
SMOX	4.19545652616969	4.69203261158731	8.9076206656651	1.36584308981309e-08	8.2262145225151e-06	9.90866476641649
C1orf21	2.30425416323184	6.2483123785832	8.87597802348403	1.45014962618527e-08	8.2262145225151e-06	9.88203498941078
CTNNA1	1.77104837043034	7.47560109124412	8.84759782978966	1.53034826297961e-08	8.2262145225151e-06	9.82948645433458
ANGPTL4	4.8816464099292	3.01200355820651	8.83895653500864	1.55566911444e-08	8.2262145225151e-06	9.62186904871347
PPAN-P2RY11	1.90266915569564	2.50828097145587	8.45466936284047	3.2591186780535e-08	1.63721826792018e-05	9.04985669342765
SLC25A13	1.08173192930878	4.94099612281637	8.40172865416895	3.61412167456932e-08	1.72909906973324e-05	8.99136000229567
ARRB1	-1.33646266987636	6.28007253131757	-8.26202459396048	4.75624856560692e-08	2.10668115373602e-05	8.72414439878169
